City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
207,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
208,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
209,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
210,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
211,Chuy,-33.6971,-53.4616,77.65,66,60,14.58,UY,moderate rain
212,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
213,Saint-Honore,48.5334,-71.0824,6.01,66,100,10.36,CA,overcast clouds
214,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
215,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
216,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
217,Brazzaville,-4.2658,15.2832,75.2,94,100,2.95,CG,overcast clouds
218,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
219,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
220,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
221,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
222,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
223,Tromso,69.6496,18.957,19.99,85,0,2.3,NO,clear sky
224,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
225,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
226,Iquitos,-3.7481,-73.2472,89.6,66,40,6.91,PE,scattered clouds
227,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
228,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
229,Paita,-5.0892,-81.1144,87.8,51,75,17.27,PE,broken clouds
230,Torbay,47.6666,-52.7314,30.0,86,90,10.36,CA,overcast clouds
231,Murgab,37.4966,61.9714,50.0,57,75,7.31,TM,broken clouds
232,Salekhard,66.53,66.6019,-18.98,87,100,8.16,RU,overcast clouds
233,Meulaboh,4.1363,96.1285,75.24,85,62,4.54,ID,broken clouds
234,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
235,Bubaque,11.2833,-15.8333,79.21,67,44,12.41,GW,scattered clouds
236,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
237,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
238,Jamestown,42.097,-79.2353,26.01,74,90,2.91,US,overcast clouds
239,Grindavik,63.8424,-22.4338,23.0,74,20,17.27,IS,few clouds
240,Mahajanga,-15.7167,46.3167,77.0,94,40,4.61,MG,moderate rain
241,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
242,Teguldet,57.3064,88.1667,-28.01,84,0,3.6,RU,clear sky
243,Calamar,10.2511,-74.9146,87.8,62,40,18.41,CO,scattered clouds
244,Alanya,36.5438,31.9998,59.0,72,75,33.38,TR,light rain
245,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
246,Chuy,-33.6971,-53.4616,77.65,66,60,14.58,UY,moderate rain
247,Antofagasta,-23.65,-70.4,75.0,64,20,16.11,CL,few clouds
248,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
249,Caravelas,-17.7125,-39.2481,78.73,75,0,7.47,BR,clear sky
250,Tasiilaq,65.6145,-37.6368,19.4,38,75,18.41,GL,broken clouds
251,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
252,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
253,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
254,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
255,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
256,Rozkishne,48.5074,39.3004,37.72,78,100,11.77,UA,overcast clouds
257,Trelew,-43.249,-65.3051,66.96,35,0,19.46,AR,clear sky
258,Touros,-5.1989,-35.4608,82.4,69,20,11.5,BR,few clouds
259,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
260,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
261,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
262,Marawi,7.9986,124.2928,75.99,88,97,1.99,PH,overcast clouds
263,Yabrud,33.9674,36.6574,44.6,87,40,8.05,SY,scattered clouds
264,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
265,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
266,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
267,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
268,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
269,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
270,Spiridonovka,53.0925,50.6462,28.4,93,75,6.71,RU,broken clouds
271,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
272,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
273,Oswego,43.4501,-76.1497,21.99,68,90,10.36,US,overcast clouds
274,Vestmanna,62.1564,-7.1664,33.8,86,75,18.41,FO,light snow
275,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
276,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
277,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
278,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
279,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
280,Hithadhoo,-0.6,73.0833,82.31,77,45,15.43,MV,scattered clouds
281,Saldanha,-33.0117,17.9442,64.94,90,0,8.97,ZA,clear sky
